Benchmarking M=256 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
120002900 	545744000 	191071900 	991166900 	401962900 	158223800 	689526000 	1152226400 	801358800 	22578400 	
104434800 	572549100 	157631300 	678133300 	403923200 	158089800 	732003900 	1126918000 	863382400 	21731500 	
96613400 	571876800 	184952500 	711303100 	404600900 	152711400 	689690300 	1150261900 	807678600 	21842100 	
105974700 	539643800 	207299300 	677624400 	405372000 	152478500 	721403700 	1116345000 	811526400 	33316200 	
104726800 	534818000 	191278100 	678149200 	405021100 	175365500 	695972300 	1152802000 	848324400 	21961800 	
108469200 	537251200 	187615000 	708149200 	409538200 	157652700 	690628500 	1166312400 	810500300 	21842800 	
106762300 	605604300 	185797200 	677536000 	402125100 	158355400 	724736100 	1118046700 	868208200 	21822000 	
109114800 	530617800 	184211800 	694742700 	408920000 	156007400 	687523600 	1166560500 	869209000 	26364300 	
107193900 	627959100 	185273400 	688131800 	400284300 	157128400 	732905800 	1126755500 	819992200 	25561800 	
107612200 	558145400 	189732900 	693895000 	441090200 	153751400 	692788000 	1179804300 	820574200 	21754400 	
1070	5624	1864	7198	4082	1579	7057	11456	8320	238	ms
1.00	0.19	0.57	0.15	0.26	0.68	0.15	0.09	0.13	4.48	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.500000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
97638200 	553095300 	176207200 	709936100 	382510000 	140819000 	633993800 	1165491200 	788278800 	19920600 	
102062000 	500640500 	176479600 	1093274400 	397324300 	159450400 	637955200 	1229113000 	807363400 	29672000 	
105697900 	599400400 	178796400 	749689500 	403018100 	144883100 	644547300 	1202690600 	810072300 	31179100 	
106432200 	658529900 	184263200 	1026762200 	460732100 	169755000 	734787000 	1255827800 	930728000 	24054500 	
