Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
8762400 	23374600 	13430000 	4339500 	17746400 	2711000 	13981300 	14916300 	552100 	
8963300 	23101300 	13351500 	4272700 	17020800 	2668600 	14166700 	14552600 	543700 	
8712900 	24615600 	13482700 	4443000 	17166800 	2731100 	14047500 	15280700 	554200 	
8819400 	22672200 	13087800 	4232900 	17137100 	2681300 	13673300 	15735100 	543200 	
8605200 	26026100 	13295000 	4438900 	17338300 	2778500 	13497400 	15797500 	555400 	
9022900 	25804800 	13218900 	4566800 	17599800 	2703800 	13425100 	15493300 	551900 	
9038700 	24024400 	13491900 	4523000 	17878000 	2955300 	14155300 	15304100 	555900 	
89	242	131	44	160	26	138	139	6	ms
1.00	0.37	0.68	2.03	0.56	3.38	0.65	0.64	13.44	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.950000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
14117400 	15187800 	7112400 	3807600 	9854500 	1282100 	7117800 	8817500 	297800 	
8072900 	12231300 	7012500 	3220500 	12222600 	1424300 	7277600 	9113700 	312800 	
9220000 	12455300 	7156400 	3206000 	10263700 	1390000 	7102400 	8863900 	299700 	
8803900 	12170900 	7223900 	3176900 	10763300 	1414300 	7074700 	8429800 	306200 	
8656800 	12167400 	7316000 	3232700 	13145900 	1416300 	7074400 	10447900 	331700 	
9020900 	12611400 	7330800 	3197800 	11381000 	1402400 	7278000 	8892400 	318800 	
9260000 	12523200 	7247300 	3214500 	11002800 	1386000 	7471900 	10646300 	321000 	
8882300 	12619700 	7275200 	3292100 	9733400 	1364800 	7498800 	8754800 	303700 	
8905600 	13993700 	7246900 	3201600 	10881800 	1373100 	7575000 	8907300 	305900 	
9237400 	12386900 	7108100 	3371900 	8355400 	1153900 	7231200 	6564000 	225000 	
94	128	72	32	107	13	72	89	3	ms
1.00	0.73	1.31	2.86	0.88	6.92	1.30	1.05	31.16	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
32224400 	982628700 	229424900 	58843300 	188643100 	42897900 	272694000 	296061300 	10686500 	
41976800 	930400200 	223649400 	52300000 	162750300 	42782900 	279437400 	331702000 	9846400 	
31788600 	899331600 	242479500 	54585500 	181870500 	42796600 	278458800 	289816200 	10713500 	
39958700 	822524000 	229560900 	56175800 	178917800 	58341300 	272703400 	324153800 	8716000 	
38263700 	867877500 	228671100 	54867100 	157707500 	43195300 	265356600 	331247600 	8445100 	
39275200 	831670600 	227345500 	55292300 	175238600 	57064800 	283134000 	341829300 	9930800 	
39561300 	793663000 	256398600 	55860800 	168173900 	44111200 	282673100 	328295600 	12421700 	
40517100 	617332900 	248425400 	53225500 	173743000 	55251500 	276418500 	326337200 	8493700 	
43715000 	583831900 	229939900 	59853500 	186519500 	59823000 	258822300 	307935100 	10349600 	
37346100 	625444600 	228232000 	57388300 	169146700 	53878800 	286496200 	285156200 	10401700 	
384	7954	2344	558	1742	500	2756	3162	100	ms
1.00	0.05	0.16	0.69	0.22	0.77	0.14	0.12	3.85	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.500000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
31574400 	560875300 	228057100 	57773200 	171451300 	50893000 	248691600 	332263800 	7749200 	
39184700 	578430000 	209310400 	51397500 	168671700 	39259700 	260939900 	330867900 	10293600 	
41048800 	578235400 	225399600 	50035700 	172022200 	51310800 	255642600 	306608000 	9551000 	
40117000 	559449600 	218537700 	52786200 	168994500 	54202600 	255660700 	304056800 	10496700 	
40396800 	568916600 	217356900 	53674300 	174045900 	51013200 	261929800 	298340400 	10110200 	
44768000 	553299200 	246665300 	59081600 	174583200 	49789600 	254291400 	302677700 	9476000 	
38848500 	648655300 	249844400 	50423700 	168249100 	50566000 	254829100 	308862000 	9524500 	
38780500 	622725200 	216455600 	50282700 	177701600 	49809700 	254530500 	315070200 	9552000 	
39208900 	612570800 	243609500 	50895200 	171314200 	39476000 	255108100 	302939300 	9917200 	
53283800 	663631900 	228045300 	53126200 	174392300 	48566400 	245900100 	296197800 	9795400 	
407	5946	2283	529	1721	484	2547	3097	96	ms
1.00	0.07	0.18	0.77	0.24	0.84	0.16	0.13	4.22	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.550000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
33078200 	653628000 	204102500 	47643400 	166136900 	37035300 	227593400 	272709000 	8024100 	
43565900 	597321300 	184826200 	46926400 	175945500 	45091000 	228820000 	298913700 	7248900 	
37638900 	599055300 	196725100 	44891200 	192000500 	48049300 	230003600 	314959200 	8929100 	
38071800 	576118100 	164766300 	47086800 	169974900 	53044700 	222035300 	291486900 	7511800 	
38351100 	568551300 	190192000 	46129600 	174896000 	48072100 	224819000 	291892300 	8752000 	
40394200 	607424800 	231329200 	46439000 	169325100 	46992900 	224026300 	279944400 	8949000 	
40782400 	557564500 	202397800 	46310700 	158532100 	52621500 	226800900 	277878700 	8770100 	
42408800 	568838700 	198824000 	45340800 	163240300 	46210800 	233515200 	291077800 	8806200 	
41440100 	546447300 	177448500 	51277100 	165651500 	44318500 	228282400 	304546600 	8985000 	
