Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
9100400 	34062800 	22732100 	6475700 	24335400 	4894100 	20396800 	21214600 	980700 	
8917700 	36248100 	20325800 	6295000 	23463100 	4859300 	20273800 	20274600 	788700 	
9037700 	34096700 	20469500 	6297400 	23093000 	4098300 	19252200 	18438000 	773200 	
8953700 	33949000 	22330900 	6177800 	22826400 	4249200 	20182100 	19277400 	768400 	
8604700 	38100900 	19378400 	6029500 	32433600 	4112100 	22427500 	19650000 	781000 	
9066800 	34481700 	20562400 	6456500 	31976000 	3934800 	20176000 	19132000 	759200 	
102	371	204	64	251	43	203	200	8	ms
1.00	0.28	0.50	1.60	0.41	2.33	0.50	0.51	12.57	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.900000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
10473400 	29117000 	12745900 	4888900 	23568200 	3023900 	13872800 	20460200 	538700 	
8648000 	22571100 	13078300 	5493800 	20654800 	2695100 	13954400 	15258400 	574100 	
9173800 	23011000 	13112300 	5182100 	17596600 	2666400 	13731100 	14621500 	536700 	
8706500 	22859100 	13116800 	5049700 	20778700 	2363300 	13451800 	11437600 	441000 	
9387900 	23280200 	15810100 	5189900 	17830600 	2639900 	13882300 	14903600 	548000 	
9307300 	22845000 	13108100 	5285700 	21726400 	3212900 	14058300 	20482400 	555500 	
14633500 	26699400 	13696800 	4560400 	17899100 	2661500 	13946900 	14127200 	554700 	
9067400 	23431300 	13095500 	5283900 	19204800 	2624400 	14163200 	15079400 	551600 	
11753800 	33479000 	12977600 	4862000 	16617800 	2683000 	13639000 	14479000 	530400 	
8851800 	24328200 	13829400 	4566500 	18084400 	2708000 	13996800 	14624600 	551400 	
100	251	134	50	193	27	138	155	5	ms
1.00	0.40	0.74	1.99	0.52	3.67	0.72	0.64	18.58	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.950000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
10003700 	12706000 	6953500 	3802400 	10294800 	1303200 	7285100 	7751700 	293300 	
10488600 	13656700 	7340000 	3229300 	10363500 	1369800 	7393600 	8637800 	303300 	
9177100 	12466400 	7448500 	3176200 	12460000 	1172400 	7151900 	6640800 	247700 	
7043100 	13155700 	7251900 	3301000 	11174200 	1354600 	7445100 	8775300 	302000 	
9135100 	12461700 	7137200 	3233400 	10954300 	1341200 	7633300 	11660500 	374100 	
9036100 	12321200 	7153500 	3206900 	14876000 	1334700 	7326900 	13125500 	388600 	
9205700 	12654500 	7239200 	3322200 	14216700 	1356200 	7394300 	12349500 	317600 	
8941600 	12478800 	7220700 	3199100 	15009400 	1344200 	7280400 	8631400 	296700 	
9033400 	12230200 	7167100 	3245500 	10777300 	1325500 	7259000 	8558700 	296200 	
11545900 	14335400 	7820700 	3725500 	10979200 	1608500 	7483700 	8786900 	318300 	
93	128	72	33	121	13	73	94	3	ms
1.00	0.73	1.29	2.80	0.77	6.93	1.27	0.99	29.83	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
33431700 	606645600 	264475200 	60859100 	175797100 	54552900 	265073300 	243939400 	8993200 	
40407600 	596897400 	233635500 	55335500 	176835600 	58327300 	271710200 	268835600 	10733800 	
36024500 	645135000 	219484400 	60201100 	172986400 	57155300 	263974300 	294871200 	9852100 	
39178300 	638881000 	226292300 	54118100 	168853400 	42559000 	271429800 	276763200 	10591400 	
38774300 	613498100 	236363700 	58912700 	178498400 	40462500 	281291600 	294195600 	8784900 	
42096000 	600565100 	273429100 	64448900 	169060600 	58181400 	270720400 	287947700 	10533900 	
39060600 	660309700 	257508000 	53105800 	172961900 	46305900 	272882400 	249581300 	10743300 	
38805700 	613413100 	231352000 	59588000 	169037200 	49116200 	278543000 	268329700 	8693000 	
41283600 	596809000 	225117800 	57179200 	159894300 	55841400 	279254100 	270542200 	8614800 	
41212200 	626575500 	259126000 	57376600 	182373700 	48364800 	274681800 	270495600 	10573800 	
390	6198	2426	581	1726	510	2729	2725	98	ms
1.00	0.06	0.16	0.67	0.23	0.76	0.14	0.14	3.98	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.500000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
39350300 	576851600 	197702600 	56107600 	180469900 	51760100 	244719400 	246574600 	7835800 	
39271700 	569373800 	192458700 	53354900 	172568500 	39719100 	249586400 	278667400 	7784700 	
40140300 	557431600 	199805300 	49878500 	163534400 	39086900 	244084800 	266947900 	7964500 	
38659500 	536677600 	204063000 	49505900 	164758100 	38217300 	246444000 	277146900 	9028900 	
40053200 	575595500 	229726900 	48589600 	159887000 	39049600 	254238800 	256514600 	7694700 	
42048500 	545450700 	240906200 	54001800 	172638100 	39253100 	245647900 	249297500 	10596800 	
39759100 	527664000 	211477700 	53039900 	170914800 	53791100 	243800500 	265366400 	9533700 	
39731400 	569790600 	202479700 	48730500 	168941200 	53785700 	233161300 	272230100 	9786000 	
38575900 	568449800 	207870200 	54174200 	170965300 	47449400 	245522200 	260653100 	9806500 	
39503000 	604110700 	217750200 	50640000 	165638100 	48537700 	235146700 	253454100 	7350200 	
397	5631	2104	518	1690	450	2442	2626	87	ms
1.00	0.07	0.19	0.77	0.23	0.88	0.16	0.15	4.54	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.550000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
36132800 	527404300 	215891900 	46494200 	162105000 	39832900 	216994000 	262449500 	8795400 	
41425800 	501450800 	214637300 	46049400 	161493100 	44302700 	212027000 	268459700 	8743500 	
40247700 	536807900 	204994600 	54057500 	180720400 	50524900 	221250400 	256957500 	8699200 	
39440400 	549900600 	179155200 	48113600 	183026500 	34924300 	216447100 	247273500 	8881200 	
37467300 	522475300 	227507000 	46022800 	159122900 	34819100 	222049400 	241203700 	7202700 	
39689700 	541584300 	187594500 	46065800 	161191600 	37628800 	219321000 	237069100 	7319400 	
41863900 	464780400 	197674300 	43947800 	167039600 	38019700 	215228800 	248909600 	7341700 	
40563400 	497628300 	182048300 	45380600 	168920400 	39339100 	219555400 	261490300 	9009400 	
40292400 	495926200 	223997500 	47905900 	163245500 	50512100 	219649500 	260529700 	7313900 	
39145400 	502670400 	213896300 	46900300 	165813900 	46640200 	215284400 	256336100 	7477500 	
396	5140	2047	470	1672	416	2177	2540	80	ms
1.00	0.08	0.19	0.84	0.24	0.95	0.18	0.16	4.91	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.600000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
28115500 	452069500 	175774900 	43720600 	171810100 	32308500 	207953600 	235540000 	8041000 	
40037000 	424036200 	205279200 	41572200 	164338600 	31996700 	201932400 	228309600 	6355800 	
38571900 	437652300 	184533600 	42752800 	148647000 	38272800 	188899300 	240057500 	8119500 	
38702500 	436048800 	169125200 	40794700 	151544300 	39982300 	192756800 	241322700 	7938800 	
39991200 	451625100 	198012700 	42454800 	138701900 	47108500 	193102300 	242887300 	8037200 	
38277900 	460196700 	194719000 	40669600 	168258000 	32713400 	183258100 	231350200 	7958800 	
41217000 	467656100 	203375800 	44279500 	161721000 	32131200 	195765200 	264659400 	7852000 	
41707100 	472286700 	206168000 	40997000 	152716100 	30618700 	193795300 	237880900 	6381000 	
37989500 	457614500 	163429400 	42651600 	148132700 	44412800 	194789600 	248718300 	7985700 	
38690300 	431978700 	145164900 	41378200 	136765100 	32661400 	193491500 	247674800 	6260100 	
383	4491	1845	421	1542	362	1945	2418	74	ms
1.00	0.09	0.21	0.91	0.25	1.06	0.20	0.16	5.12	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.650000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
33480100 	417337100 	147474700 	39687900 	142211300 	35827800 	170056700 	222792100 	5473100 	
45991100 	473828400 	163007500 	39672600 	158322900 	30420300 	166686000 	217289500 	7162800 	
41049200 	447869600 	183851000 	37674900 	147305700 	36363200 	173049300 	208121000 	5687900 	
39573700 	407611600 	178000000 	40252800 	146559900 	30932000 	170493500 	220004600 	5617800 	
40878700 	415776600 	140315200 	38400800 	144716600 	31169100 	171863600 	206505600 	7177900 	
46126900 	445836900 	135202300 	38572000 	142680700 	38754200 	170632900 	214490500 	6941500 	
48925800 	443812800 	143354800 	31816600 	140574600 	35538100 	167028300 	236308700 	7078900 	
45616000 	432422200 	133042500 	36924800 	140140400 	28975400 	170147800 	219091600 	6460300 	
45969900 	477939500 	156737800 	36280600 	141684700 	29162300 	165562800 	217770700 	7111400 	
38313200 	476711400 	163415900 	39330100 	151675400 	38261500 	172707600 	226694900 	7167100 	
425	4439	1544	378	1455	335	1698	2189	65	ms
1.00	0.10	0.28	1.12	0.29	1.27	0.25	0.19	6.47	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
45916300 	415151300 	145983100 	34731400 	136109800 	32398800 	152697600 	193087900 	6065400 	
47073500 	363301300 	145292000 	33211700 	134224300 	39701800 	145021200 	197890900 	4827700 	
41392800 	372795800 	129749200 	34755500 	162973600 	27513800 	145107400 	199058500 	6036400 	
46783100 	357237900 	150206900 	30997500 	135283800 	32930900 	145396200 	200348100 	4830100 	
36979600 	387759000 	110423700 	34378300 	130734700 	36408500 	150784100 	193702200 	6091700 	
45992700 	368774600 	144617100 	31952600 	129101700 	31932300 	148389400 	204318200 	4833900 	
45688500 	364935500 	124023800 	32726200 	137584600 	34006700 	145712400 	221522800 	6118100 	
38769300 	369667000 	113886700 	31854000 	132774500 	34123200 	148430400 	209837800 	7150200 	
39707400 	408716300 	114531400 	32733700 	133549900 	30828600 	150507600 	198410600 	6529100 	
45465300 	415620400 	126110300 	33386900 	141282900 	26490300 	147068300 	207701800 	6069300 	
433	3823	1304	330	1373	326	1479	2025	58	ms
1.00	0.11	0.33	1.31	0.32	1.33	0.29	0.21	7.41	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.750000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
41001600 	386646700 	92789100 	29228400 	121555700 	30702000 	126602000 	173340000 	3977000 	
40048900 	327110600 	103429000 	27843600 	115466900 	31085300 	127571300 	171357200 	5151400 	
40772800 	322319700 	128418100 	27259900 	115559700 	32202300 	120692800 	175784600 	4157000 	
